long,lat,calle_nombre,calle_altura,modelo,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.441920168333304,-34.5689002218016,11 DE SEPTIEMBRE DE 1888,986,MECÁNICA,Palermo,Comuna 14,1426,C1426BKF
-58.4433571413331,-34.5677738176019,11 DE SEPTIEMBRE DE 1888,1128,MECÁNICA,Palermo,Comuna 14,1426,C1426BKJ
-58.462856573231,-34.5771085614022,14 DE JULIO,1360,MECÁNICA,Villa Ortuzar,Comuna 15,1427,C1427CKB
-58.4657876000304,-34.5740327929027,14 DE JULIO,1652,MECÁNICA,Villa Ortuzar,Comuna 15,1430,C1430END
-58.5001874533249,-34.5644690210059,20 DE FEBRERO,5650,MECÁNICA,Saavedra,Comuna 12,1431,C1431BBB
-58.4106250319413,-34.622053679994195,24 DE NOVIEMBRE,970,MECÁNICA,San Cristobal,Comuna 3,1224,C1224AAJ
-58.409318599542395,-34.6350853172928,24 DE NOVIEMBRE,2051,MECÁNICA,Parque Patricios,Comuna 4,1242,C1242AAQ
-58.442152902933394,-34.5696310296016,3 DE FEBRERO,945,MECÁNICA,Palermo,Comuna 14,1426,C1426BJE
-58.444911975832795,-34.567570280102004,3 DE FEBRERO,1261,MECÁNICA,Palermo,Comuna 14,1426,C1426BJK
-58.5134493791288,-34.6481853463982,ACASSUSO,6365,MECÁNICA,Liniers,Comuna 9,1408,C1408FDY
-58.5177479138284,-34.6520439821981,ACASSUSO,6997,MECÁNICA,Liniers,Comuna 9,1408,C1408FEM
-58.472002310730105,-34.5835524907021,"ACHA, MARIANO, GRAL.",1013,MECÁNICA,Villa Ortuzar,Comuna 15,1427,C1427DBC
-58.47206567063001,-34.5810643342024,"ACHA, MARIANO, GRAL.",1235,MECÁNICA,Villa Ortuzar,Comuna 15,1427,C1427DBG
-58.473197657029495,-34.5765919350029,"ACHA, MARIANO, GRAL.",1747,MECÁNICA,Villa Ortuzar,Comuna 15,1430,C1430DUI
-58.4829139959274,-34.5656423280046,"ACHA, MARIANO, GRAL.",3015,MECÁNICA,Villa Urquiza,Comuna 12,1430,C1430DVI
-58.489208558926,-34.5578455739058,"ACHA, MARIANO, GRAL.",3781,CONTENEDOR 3200,Saavedra,Comuna 12,1430,C1430DVW
-58.4908785204256,-34.5555966904062,"ACHA, MARIANO, GRAL.",4070,CONTENEDOR 3200,Saavedra,Comuna 12,1430,C1430DWD
-58.4923882047252,-34.5532713968065,"ACHA, MARIANO, GRAL.",4375,CONTENEDOR 3200,Saavedra,Comuna 12,1430,C1430DWI
-58.493540374024896,-34.5516277073067,"ACHA, MARIANO, GRAL.",4585,CONTENEDOR 3200,Saavedra,Comuna 12,1430,C1430DWM
-58.495001038824604,-34.5495490205071,"ACHA, MARIANO, GRAL.",4845,CONTENEDOR 3200,Saavedra,Comuna 12,1430,C1430DWS
-58.4136151702423,-34.6427522877923,ACHALA,3526,MECÁNICA,Nueva Pompeya,Comuna 4,1437,C1437IZB
-58.4153814183421,-34.6422574310925,ACHALA,3679,MECÁNICA,Nueva Pompeya,Comuna 4,1437,C1437IZC
-58.46638688873529,-34.646677307695306,"ACOSTA, MARIANO",1469,MECÁNICA,Parque Avellaneda,Comuna 9,1407,C1407KCC
-58.4653971801355,-34.6474572399952,"ACOSTA, MARIANO",1551,MECÁNICA,Parque Avellaneda,Comuna 9,1407,C1407KCE
