punto;comuna;año;mes;pesaje_avu_litros;long;lat
Plaza Güemes;Comuna 14;2016;Julio;35;-58.4174406;-34.586063
Parque Centenario;Comuna 6;2016;Julio;37;-58.43495559999999;-34.606830200000005
Plaza Sudamerica;Comuna 4;2016;Julio;3;-58.39473950000001;-34.652745700000004
Plaza Arenales;Comuna 11;2016;Julio;53;-58.5122799;-34.5993652
Plaza Güemes;Comuna 14;2016;Agosto;111.5;-58.4174406;-34.586063
Parque Centenario;Comuna 6;2016;Agosto;94;-58.43495559999999;-34.606830200000005
Plaza Sudamerica;Comuna 4;2016;Agosto;39.8;-58.39473950000001;-34.652745700000004
Plaza Arenales;Comuna 11;2016;Agosto;50.2;-58.5122799;-34.5993652
Plaza Güemes;Comuna 14;2016;Septiembre;83;-58.4174406;-34.586063
Parque Centenario;Comuna 6;2016;Septiembre;109;-58.43495559999999;-34.606830200000005
Plaza Sudamerica;Comuna 4;2016;Septiembre;33.7;-58.39473950000001;-34.652745700000004
Plaza Arenales;Comuna 11;2016;Septiembre;254;-58.5122799;-34.5993652
Plaza Güemes;Comuna 14;2016;Octubre;35.4;-58.4174406;-34.586063
Parque Centenario;Comuna 6;2016;Octubre;79;-58.43495559999999;-34.606830200000005
Plaza Sudamerica;Comuna 4;2016;Octubre;10;-58.39473950000001;-34.652745700000004
Plaza Arenales;Comuna 11;2016;Octubre;190.3;-58.5122799;-34.5993652
Plaza Güemes;Comuna 14;2016;Noviembre;92;-58.4174406;-34.586063
Parque Centenario;Comuna 6;2016;Noviembre;125;-58.43495559999999;-34.606830200000005
Plaza Sudamerica;Comuna 4;2016;Noviembre;18.2;-58.39473950000001;-34.652745700000004
Plaza Arenales;Comuna 11;2016;Noviembre;127.898;-58.5122799;-34.5993652
Plaza Güemes;Comuna 14;2016;Diciembre;101.1;-58.4174406;-34.586063
Parque Centenario;Comuna 6;2016;Diciembre;244.1;-58.43495559999999;-34.606830200000005
Plaza Sudamerica;Comuna 4;2016;Diciembre;31;-58.39473950000001;-34.652745700000004
Plaza Arenales;Comuna 11;2016;Diciembre;238.4;-58.5122799;-34.5993652
Parque Chacabuco;Comuna 7;2016;Diciembre;5.1;-58.43288159999999;-34.6340618
Parque Los Andes;Comuna 15;2016;Diciembre;41.5;-58.450456300000006;-34.5898603
Plaza Boedo;Comuna 5;2016;Diciembre;1.3;-58.41283499999999;-34.622518
