punto,comuna,año,mes,cantidad,pesaje_aed_gr,long,lat
Parque Centenario,Comuna 6,2015,Enero,0.0,1099.59,-58.43495559999999,-34.606830200000005
Plaza Arenales,Comuna 11,2015,Enero,0.0,865.59,-58.5122799,-34.5993652
Punto verde Móvil,Comuna 6,2015,Enero,0.0,0.0,-58.4355705,-34.6083805
Parque Centenario,Comuna 6,2015,Febrero,0.0,1456.95,-58.43495559999999,-34.606830200000005
Plaza Arenales,Comuna 11,2015,Febrero,0.0,1010.97,-58.5122799,-34.5993652
Punto verde Móvil,Comuna 6,2015,Febrero,0.0,0.0,-58.4355705,-34.6083805
Parque Centenario,Comuna 6,2015,Marzo,321.0,979.61,-58.43495559999999,-34.606830200000005
Plaza Arenales,Comuna 11,2015,Marzo,22.0,916.02,-58.5122799,-34.5993652
Punto verde Móvil,Comuna 6,2015,Marzo,0.0,0.0,-58.4355705,-34.6083805
Parque Centenario,Comuna 6,2015,Abril,169.0,594.73,-58.43495559999999,-34.606830200000005
Plaza Arenales,Comuna 11,2015,Abril,73.0,715.72,-58.5122799,-34.5993652
Punto verde Móvil,Comuna 6,2015,Abril,0.0,0.0,-58.4355705,-34.6083805
Parque Centenario,Comuna 6,2015,Mayo,211.0,984.29,-58.43495559999999,-34.606830200000005
Plaza Arenales,Comuna 11,2015,Mayo,159.0,824.72,-58.5122799,-34.5993652
Punto verde Móvil,Comuna 6,2015,Mayo,0.0,0.0,-58.4355705,-34.6083805
Parque Centenario,Comuna 6,2015,Junio,225.0,846.3,-58.43495559999999,-34.606830200000005
Plaza Arenales,Comuna 11,2015,Junio,62.0,468.61,-58.5122799,-34.5993652
Punto verde Móvil,Comuna 6,2015,Junio,382.0,1089.0,-58.4355705,-34.6083805
Parque Centenario,Comuna 6,2015,Julio,337.0,939.53,-58.43495559999999,-34.606830200000005
Plaza Arenales,Comuna 11,2015,Julio,181.0,1110.04,-58.5122799,-34.5993652
Punto verde Móvil,Comuna 6,2015,Julio,154.0,415.0,-58.4355705,-34.6083805
Parque Centenario,Comuna 6,2015,Agosto,692.0,1193.06,-58.43495559999999,-34.606830200000005
Plaza Arenales,Comuna 11,2015,Agosto,1335.0,1239.78,-58.5122799,-34.5993652
Punto verde Móvil,Comuna 6,2015,Agosto,872.0,1371.68,-58.4355705,-34.6083805
Parque Centenario,Comuna 6,2015,Septiembre,441.0,717.66,-58.43495559999999,-34.606830200000005
Plaza Arenales,Comuna 11,2015,Septiembre,894.0,1211.22,-58.5122799,-34.5993652
Punto verde Móvil,Comuna 6,2015,Septiembre,394.0,661.55,-58.4355705,-34.6083805
Parque Centenario,Comuna 6,2015,Octubre,496.0,521.15,-58.43495559999999,-34.606830200000005
Plaza Arenales,Comuna 11,2015,Octubre,1078.0,989.25,-58.5122799,-34.5993652
Punto verde Móvil,Comuna 6,2015,Octubre,539.0,687.5,-58.4355705,-34.6083805
Parque Centenario,Comuna 6,2015,Noviembre,732.0,718.98,-58.43495559999999,-34.606830200000005
Plaza Arenales,Comuna 11,2015,Noviembre,879.0,1120.54,-58.5122799,-34.5993652
Punto verde Móvil,Comuna 6,2015,Noviembre,66.0,167.99,-58.4355705,-34.6083805
Parque Centenario,Comuna 6,2015,Diciembre,376.0,700.41,-58.43495559999999,-34.606830200000005
Plaza Arenales,Comuna 11,2015,Diciembre,516.0,1612.66,-58.5122799,-34.5993652
Punto verde Móvil,Comuna 6,2015,Diciembre,43.0,111.97,-58.4355705,-34.6083805
Parque Centenario,Comuna 6,2016,Enero,625.0,904.08,-58.43495559999999,-34.606830200000005
Plaza Arenales,Comuna 11,2016,Enero,1170.0,1150.19,-58.5122799,-34.5993652
Punto verde Móvil,Comuna 6,2016,Enero,0.0,0.0,-58.4355705,-34.6083805
Parque Centenario,Comuna 6,2016,Febrero,856.0,965.59,-58.43495559999999,-34.606830200000005
Plaza Arenales,Comuna 11,2016,Febrero,683.0,806.82,-58.5122799,-34.5993652
Punto verde Móvil,Comuna 6,2016,Febrero,0.0,0.0,-58.4355705,-34.6083805
Parque Centenario,Comuna 6,2016,Marzo,823.0,793.72,-58.43495559999999,-34.606830200000005
Plaza Arenales,Comuna 11,2016,Marzo,894.0,1080.1,-58.5122799,-34.5993652
Punto verde Móvil,Comuna 6,2016,Marzo,21.0,70.52,-58.4355705,-34.6083805
Parque Centenario,Comuna 6,2016,Abril,636.0,1122.03,-58.43495559999999,-34.606830200000005
Plaza Arenales,Comuna 11,2016,Abril,771.0,1715.5,-58.5122799,-34.5993652
Punto verde Móvil,Comuna 6,2016,Abril,0.0,0.0,-58.4355705,-34.6083805
Parque Centenario,Comuna 6,2016,Mayo,567.0,650.22,-58.43495559999999,-34.606830200000005
Plaza Arenales,Comuna 11,2016,Mayo,738.0,766.61,-58.5122799,-34.5993652
Punto verde Móvil,Comuna 6,2016,Mayo,0.0,0.0,-58.4355705,-34.6083805
Parque Centenario,Comuna 6,2016,Junio,636.0,705.51,-58.43495559999999,-34.606830200000005
Plaza Arenales,Comuna 11,2016,Junio,787.0,966.46,-58.5122799,-34.5993652
Punto verde Móvil,Comuna 6,2016,Junio,0.0,0.0,-58.4355705,-34.6083805
