"Longitud","Latitud","Calle","Altura","Materiales","Barrio","Comuna","Calle2","Direccion","Tipo"
"-58.4419201683333","-34.5689002218016","11 DE SEPTIEMBRE DE 1888",986,"MECÁNICA","Palermo","Comuna 14","1426.0","C1426BKF","campanas_verdes"
"-58.4433571413331","-34.5677738176019","11 DE SEPTIEMBRE DE 1888",1128,"MECÁNICA","Palermo","Comuna 14","1426.0","C1426BKJ","campanas_verdes"
"-58.462856573231","-34.5771085614022","14 DE JULIO",1360,"MECÁNICA","Villa Ortuzar","Comuna 15","1427.0","C1427CKB","campanas_verdes"
"-58.4657876000304","-34.5740327929027","14 DE JULIO",1652,"MECÁNICA","Villa Ortuzar","Comuna 15","1430.0","C1430END","campanas_verdes"
"-58.5001874533249","-34.5644690210059","20 DE FEBRERO",5650,"MECÁNICA","Saavedra","Comuna 12","1431.0","C1431BBB","campanas_verdes"
"-58.4106250319413","-34.6220536799942","24 DE NOVIEMBRE",970,"MECÁNICA","San Cristobal","Comuna 3","1224.0","C1224AAJ","campanas_verdes"
"-58.4093185995424","-34.6350853172928","24 DE NOVIEMBRE",2051,"MECÁNICA","Parque Patricios","Comuna 4","1242.0","C1242AAQ","campanas_verdes"
"-58.4421529029334","-34.5696310296016","3 DE FEBRERO",945,"MECÁNICA","Palermo","Comuna 14","1426.0","C1426BJE","campanas_verdes"
"-58.4449119758328","-34.567570280102","3 DE FEBRERO",1261,"MECÁNICA","Palermo","Comuna 14","1426.0","C1426BJK","campanas_verdes"
"-58.5134493791288","-34.6481853463982","ACASSUSO",6365,"MECÁNICA","Liniers","Comuna 9","1408.0","C1408FDY","campanas_verdes"
"-58.5177479138284","-34.6520439821981","ACASSUSO",6997,"MECÁNICA","Liniers","Comuna 9","1408.0","C1408FEM","campanas_verdes"
"-58.4720023107301","-34.5835524907021","ACHA, MARIANO, GRAL.",1013,"MECÁNICA","Villa Ortuzar","Comuna 15","1427.0","C1427DBC","campanas_verdes"
"-58.47206567063","-34.5810643342024","ACHA, MARIANO, GRAL.",1235,"MECÁNICA","Villa Ortuzar","Comuna 15","1427.0","C1427DBG","campanas_verdes"
"-58.4731976570295","-34.5765919350029","ACHA, MARIANO, GRAL.",1747,"MECÁNICA","Villa Ortuzar","Comuna 15","1430.0","C1430DUI","campanas_verdes"
"-58.4829139959274","-34.5656423280046","ACHA, MARIANO, GRAL.",3015,"MECÁNICA","Villa Urquiza","Comuna 12","1430.0","C1430DVI","campanas_verdes"
"-58.489208558926","-34.5578455739058","ACHA, MARIANO, GRAL.",3781,"CONTENEDOR 3200","Saavedra","Comuna 12","1430.0","C1430DVW","campanas_verdes"
"-58.4908785204256","-34.5555966904062","ACHA, MARIANO, GRAL.",4070,"CONTENEDOR 3200","Saavedra","Comuna 12","1430.0","C1430DWD","campanas_verdes"
"-58.4923882047252","-34.5532713968065","ACHA, MARIANO, GRAL.",4375,"CONTENEDOR 3200","Saavedra","Comuna 12","1430.0","C1430DWI","campanas_verdes"
